Kategorie,Art,Unterkategorie,Sparte,CategoryEntityName,SubCategoryKey,SubCategoryGroupKey,GroupTypeKey,FormName,CombinedKey
"Mobilität","Nutzfahrzeug","Anhänger","B","mobility","commercial-vehicle","trailer","b","trailer","mobility-commercial-vehicle-trailer-b"
"Mobilität","Nutzfahrzeug","Kasten","B","mobility","commercial-vehicle","box","boxvan","boxvan","mobility-commercial-vehicle-box-boxvan"
"Mobilität","Landwirtschaft","Traktor","B","mobility","agriculture","tractor","tractor","tractor","mobility-agriculture-tractor-tractor"
"Verträge","Darlehen","Förderung","Bafög","contract","loan","support","student-loans","contract-loan-credit-creditcontract","contract-loan-support-student-loans"
"Verträge","Versicherung","Sach","Bauherrenhaftpflicht","contract","insurance","object","builders-liability","contract-insurance-builderliability-builderliabilitycontract","contract-insurance-object-builders-liability"
"Immobilien","ohne Bebauung","Grund","Bebauungsgrundstück","realestate","without-development","ground","building-plot","building-plot","realestate-without-development-ground-building-plot"
"Verträge","Versicherung","Leben","Berufsunfähigkeit","contract","insurance","life","disability-insurance","contract-insurance-disability-disabilitycontract","contract-insurance-life-disability-insurance"
"Mobilität","Nutzfahrzeug","Kasten","C","mobility","commercial-vehicle","box","boxvan","boxvan","mobility-commercial-vehicle-box-boxvan"
"Mobilität","Nutzfahrzeug","Anhänger","C","mobility","commercial-vehicle","trailer","c","trailer","mobility-commercial-vehicle-trailer-c"
"Mobilität","Personenfahrzeug","Quad","C","mobility","passenger-vehicle","quad","quad-c","quad","mobility-passenger-vehicle-quad-quad-c"
"Mobilität","Landwirtschaft","Traktor","C","mobility","agriculture","tractor","tractor","tractor","mobility-agriculture-tractor-tractor"
"Mobilität","Personenfahrzeug","Auto","Cabrio","mobility","passenger-vehicle","car","convertible","car","mobility-passenger-vehicle-car-convertible"
"Immobilien","mit Bebauung","Parkfläche","Carport","realestate","with-development","parking-space","carport","carport","realestate-with-development-parking-space-carport"
"Finanzkonten","Kredit","Kreditkarte","Charge","financeaccount","credit","credit-card","charge","contract-savings-savings-overnightcontract","financeaccount-credit-credit-card-charge"
"Mobilität","Personenfahrzeug","Motorrad","Chopper","mobility","passenger-vehicle","motorcycle","chopper","chopper","mobility-passenger-vehicle-motorcycle-chopper"
"Mobilität","Fahrrad","Bike","City","mobility","bike","bike","city","bicycle","mobility-bike-bike-city"
"Mobilität","Fahrrad","Pedelec","City","mobility","bike","pedelec","p-city","pedelec","mobility-bike-pedelec-p-city"
"Mobilität","Fahrrad","E-Bike","City","mobility","bike","e-bike","e-city","ebike","mobility-bike-e-bike-e-city"
"Verträge","Kaufvertrag","Gegenstände","Couch","contract","purchase-contract","objects","coffee-table","contract-sale-sale-salecontract","contract-purchase-contract-objects-coffee-table"
"Mobilität","Personenfahrzeug","Auto","Coupé","mobility","passenger-vehicle","car","coupe","car","mobility-passenger-vehicle-car-coupe"
"Mobilität","Fahrrad","E-Bike","Cross","mobility","bike","e-bike","e-cross","ebike","mobility-bike-e-bike-e-cross"
"Mobilität","Fahrrad","Pedelec","Cross","mobility","bike","pedelec","p-cross","pedelec","mobility-bike-pedelec-p-cross"
"Mobilität","Fahrrad","Bike","Cross","mobility","bike","bike","cross","bicycle","mobility-bike-bike-cross"
"Mobilität","Personenfahrzeug","Motorrad","Cruiser","mobility","passenger-vehicle","motorcycle","cruiser","cruiser","mobility-passenger-vehicle-motorcycle-cruiser"
"Mobilität","Personenfahrzeug","Auto","CUV","mobility","passenger-vehicle","car","cuv","car","mobility-passenger-vehicle-car-cuv"
"Finanzkonten","Kredit","Kreditkarte","Debit","financeaccount","credit","credit-card","debit","contract-creditcard-credit-creditcard","financeaccount-credit-credit-card-debit"
"Mobilität","Personenfahrzeug","Motorrad","Dirt Bike","mobility","passenger-vehicle","motorcycle","dirt-bike","dirt-bike","mobility-passenger-vehicle-motorcycle-dirt-bike"
"Verträge","Versicherung","Gewerbe","D&O Managerhaftpflicht","contract","insurance","business","manager-liability","contract-insurance-domanager-domanagercontract","contract-insurance-business-manager-liability"
"Immobilien","mit Bebauung","Wohnhaus","Doppelhaushälfte","realestate","with-development","residential-building","semit-detached-house","commercial-residential-property","realestate-with-development-residential-building-semit-detached-house"
"Mobilität","Fahrrad","Pedelec","Dreirad","mobility","bike","pedelec","p-tricycle","pedelec","mobility-bike-pedelec-p-tricycle"
"Mobilität","Fahrrad","Bike","Dreirad","mobility","bike","bike","tricycle","bicycle","mobility-bike-bike-tricycle"
"Mobilität","Fahrrad","E-Bike","Dreirad","mobility","bike","e-bike","e-tricycle","ebike","mobility-bike-e-bike-e-tricycle"
"Verträge","Medien","Internet","DSL","contract","media","internet","broadband","contract-media-media-mediacontract","contract-media-internet-broadband"
"Verträge","Versicherung","Sach","E-Bike & Pedeleg","contract","insurance","object","ebike","contract-insurance-bike-bikecontract","contract-insurance-object-ebike"
"Immobilien","mit Bebauung","Wohnhaus","Einfamilienhaus","realestate","with-development","residential-building","detached-house","commercial-residential-property","realestate-with-development-residential-building-detached-house"
"Kontakte","Kontakte","Kontakt","Einzelkontakt","contact","contact","contact","single-contact","single-contact","contact-contact-contact-single-contact"
"Mobilität","Personenfahrzeug","Quad","Elektro","mobility","passenger-vehicle","quad","quad-electro","quad","mobility-passenger-vehicle-quad-quad-electro"
"Verträge","Versicherung","Sach","Elementar (Wohngebäude)","contract","insurance","object","elementary","contract-insurance-fire-firecontract","contract-insurance-object-elementary"
"Verträge","Darlehen","Immobilie","Endfällige Darlehen","contract","loan","realestate","bullet-loans","contract-loan-credit-creditcontract","contract-loan-realestate-bullet-loans"
"Mobilität","Fahrrad","Pedelec","Falt","mobility","bike","pedelec","p-folding-bike","pedelec","mobility-bike-pedelec-p-folding-bike"
"Mobilität","Fahrrad","Bike","Falt","mobility","bike","bike","folding-bike","bicycle","mobility-bike-bike-folding-bike"
"Mobilität","Fahrrad","E-Bike","Falt","mobility","bike","e-bike","e-folding-bike","ebike","mobility-bike-e-bike-e-folding-bike"
"Mobilität","Nutzfahrzeug","Wohnwagen","Familien","mobility","commercial-vehicle","caravan","family","caravan","mobility-commercial-vehicle-caravan-family"
"Verträge","Mietvertrag","Immobilie","Ferienhaus","contract","rental-contract","realestate","holiday-house","contract-lease-lease-leasecontract","contract-rental-contract-realestate-holiday-house"
"Immobilien","mit Bebauung","Wohnhaus","Ferienhaus","realestate","with-development","residential-building","vacation-house","commercial-residential-property","realestate-with-development-residential-building-vacation-house"
"Verträge","Mietvertrag","Immobilie","Ferienwohnung","contract","rental-contract","realestate","holiday-apartment","contract-lease-lease-leasecontract","contract-rental-contract-realestate-holiday-apartment"
"Verträge","Kaufvertrag","Geräte","Fernseher","contract","purchase-contract","devices","tv","contract-sale-sale-salecontract","contract-purchase-contract-devices-tv"
"Verträge","Energie","Heizen","Fernwärme","contract","energy","heating","district-heating","energy","contract-energy-heating-district-heating"
"Verträge","Versicherung","Sach","Feuer","contract","insurance","object","fire","insurance-fire","contract-insurance-object-fire"
"Verträge","Medien","Streaming","Filme / Serien","contract","media","streaming","movies-series","contract-media-media-mediacontract","contract-media-streaming-movies-series"
"Immobilien","mit Bebauung","Bewirtschaftung","Forst","realestate","with-development","farmland","forest","forest","realestate-with-development-farmland-forest"
"Verträge","Kredit","Kredit","freie Verwendung","contract","credit","credit","free-use","contract-loan-credit-creditcontract","contract-credit-credit-free-use"
"Immobilien","mit Bebauung","Bewirtschaftung","Frucht","realestate","with-development","farmland","fruit","fruit","realestate-with-development-farmland-fruit"
"Immobilien","mit Bebauung","Parkfläche","Garage","realestate","with-development","parking-space","garage","garage","realestate-with-development-parking-space-garage"
"Verträge","Mietvertrag","Abstellplatz","Garage","contract","rental-contract","put-down-space","garage","contract-lease-lease-leasecontract","contract-rental-contract-put-down-space-garage"
"Verträge","Dienstleistung","Service","Gärtner","contract","service","service","gardener","contract-service-gardener-gardenerservicecontract","contract-service-service-gardener"
"Verträge","Energie","Heizen","Gas","contract","energy","heating","gas","energy","contract-energy-heating-gas"
"Verträge","Versicherung","Gewerbe","Gebäude","contract","insurance","business","building","contract-insurance-residential-residentialcontract","contract-insurance-business-building"
"Verträge","Mietvertrag","Immobilie","Gebäude","contract","rental-contract","realestate","building","contract-lease-lease-leasecontract","contract-rental-contract-realestate-building"
"Mobilität","Personenfahrzeug","Auto","Geländewagen","mobility","passenger-vehicle","car","off-road-vehicle","car","mobility-passenger-vehicle-car-off-road-vehicle"
"Verträge","Dienstleistung","Gebühren","Gemeindegebühren","contract","service","fees","municipal-fees","municipal-fees","contract-service-fees-municipal-fees"
"Verträge","Versicherung","Kranken","gesetzliche Krankenversicherung","contract","insurance","health","statutory-health-insurance","contract-insurance-health-healthcontract","contract-insurance-health-statutory-health-insurance"
"Immobilien","mit Bebauung","Gewerbehaus","Gewerbeeinheit","realestate","with-development","commercial-building","commercial-unit","commercial-residential-property","realestate-with-development-commercial-building-commercial-unit"
"Immobilien","mit Bebauung","Gewerbehaus","Gewerbehaus","realestate","with-development","commercial-building","commercial-building","commercial-residential-property","realestate-with-development-commercial-building-commercial-building"
"Finanzkonten","Bank","Bankkonto","Girokonto","financeaccount","bank","bank-account","checking-account","checking-account","financeaccount-bank-bank-account-checking-account"
"Verträge","Versicherung","Sach","Glas","contract","insurance","object","glas","contract-insurance-fire-firecontract","contract-insurance-object-glas"
"Verträge","Medien","Internet","Glasfaser","contract","media","internet","glass-fiber","contract-media-media-mediacontract","contract-media-internet-glass-fiber"
"Finanzkonten","Systeme","Bezahlsysteme","Google Pay","financeaccount","systems","payment-systems","google-pay","contract-creditcard-credit-creditcard","financeaccount-systems-payment-systems-google-pay"
"Mobilität","Fahrrad","Pedelec","Gravel","mobility","bike","pedelec","p-gravel","pedelec","mobility-bike-pedelec-p-gravel"
"Mobilität","Fahrrad","Bike","Gravel","mobility","bike","bike","gravel","bicycle","mobility-bike-bike-gravel"
"Mobilität","Fahrrad","E-Bike","Gravel","mobility","bike","e-bike","e-gravel","ebike","mobility-bike-e-bike-e-gravel"
"Verträge","Kaufvertrag","Immobilie","Grunderwerbssteuer","contract","purchase-contract","realestate","real-estate-tax","contract-sale-sale-salecontract","contract-purchase-contract-realestate-real-estate-tax"
"Verträge","Dienstleistung","Gebühren","Grunderwerbssteuer","contract","service","fees","real-estate-tax","contract-tax-realestate-realestatetaxcontract","contract-service-fees-real-estate-tax"
"Immobilien","mit Bebauung","Halle","Halle","realestate","with-development","hall","hall","commercial-residential-property","realestate-with-development-hall-hall"
"Verträge","Kaufvertrag","Geräte","Handy","contract","purchase-contract","devices","mobile","contract-sale-sale-salecontract","contract-purchase-contract-devices-mobile"
"Verträge","Medien","Mobilfunk","Handy","contract","media","cellular","mobile","contract-media-media-mediacontract","contract-media-cellular-mobile"
"Verträge","Kaufvertrag","Immobilie","Haus","contract","purchase-contract","realestate","house","contract-sale-sale-salecontract","contract-purchase-contract-realestate-house"
"Verträge","Dienstleistung","Service","Hausmeisterservice","contract","service","service","caretaker-service","contract-service-caretaker-caretakerservicecontract","contract-service-service-caretaker-service"
"Verträge","Mietvertrag","Wohnen","Hausmietvertrag","contract","rental-contract","reside","house-lease","contract-lease-lease-leasecontract","contract-rental-contract-reside-house-lease"
"Verträge","Versicherung","Sach","Hausrat","contract","insurance","object","household-goods","contract-insurance-furniture-furniturecontract","contract-insurance-object-household-goods"
"Verträge","Versicherung","Sach","Haus- und Grundbesitzerhaftpflicht","contract","insurance","object","homeowner-liability","contract-insurance-liability-liabilitycontract","contract-insurance-object-homeowner-liability"
"Verträge","Dienstleistung","Service","Hausverwaltung","contract","service","service","property-management","property-management","contract-service-service-property-management"
"Verträge","Dienstleistung","Wartung","Heizung","contract","service","maintenance","heating","contract-service-maintenance-maintenancecontract","contract-service-maintenance-heating"
"Verträge","Dienstleistung","Service","Immobilienmakler","contract","service","service","real-estate-agent","contract-service-broker-realestateagent","contract-service-service-real-estate-agent"
"Mobilität","Boot","Motorbetrieben","Jollenkreuzer","mobility","boat","motorized","motorboat","motorboat","mobility-boat-motorized-motorboat"
"Verträge","Medien","Fernsehen","Kabelfernsehen","contract","media","television","cable-tv","contract-media-media-mediacontract","contract-media-television-cable-tv"
"Verträge","Dienstleistung","Service","KFZ-Inspektion","contract","service","service","car-inspection","contract-mobility-car-inspection","contract-service-service-car-inspection"
"Mobilität","Personenfahrzeug","Quad","Kinder","mobility","passenger-vehicle","quad","quad-children","quad","mobility-passenger-vehicle-quad-quad-children"
"Finanzkonten","Systeme","Bezahlsysteme","Klarna","financeaccount","systems","payment-systems","klarna","contract-creditcard-credit-creditcard","financeaccount-systems-payment-systems-klarna"
"Mobilität","Personenfahrzeug","Auto","Kleinbus","mobility","passenger-vehicle","car","minibus","car","mobility-passenger-vehicle-car-minibus"
"Mobilität","Personenfahrzeug","Auto","Kleintransporter","mobility","passenger-vehicle","car","small-transporter","car","mobility-passenger-vehicle-car-small-transporter"
"Mobilität","Personenfahrzeug","Auto","Kleinwagen","mobility","passenger-vehicle","car","small-car","car","mobility-passenger-vehicle-car-small-car"
"Mobilität","Personenfahrzeug","Auto","Kombi","mobility","passenger-vehicle","car","station-wagon","car","mobility-passenger-vehicle-car-station-wagon"
"Kontakte","Kontakte","Kontakt","Kontaktgruppe","contact","contact","contact","contact-group","contact-group","contact-contact-contact-contact-group"
"Verträge","Versicherung","Kranken","Krankenhaustagegeld","contract","insurance","health","hospital-per-diem","contract-insurance-dailyhospital-dailyhospitalcontract","contract-insurance-health-hospital-per-diem"
"Verträge","Versicherung","Kranken","Krankentagegeld","contract","insurance","health","sick-pay","contract-insurance-dailysickness-dailysicknesscontract","contract-insurance-health-sick-pay"
"Verträge","Versicherung","Sach","Kunst","contract","insurance","object","art","contract-insurance-fire-firecontract","contract-insurance-object-art"
"Mobilität","Fahrrad","Bike","Lasten","mobility","bike","bike","cargo","bicycle","mobility-bike-bike-cargo"
"Mobilität","Fahrrad","Pedelec","Lasten","mobility","bike","pedelec","p-cargo","pedelec","mobility-bike-pedelec-p-cargo"
"Mobilität","Fahrrad","E-Bike","Lasten","mobility","bike","e-bike","e-cargo","ebike","mobility-bike-e-bike-e-cargo"
"Verträge","Darlehen","Immobilie","Laufzeitzinsdarlehen","contract","loan","realestate","term-loan","contract-loan-credit-creditcontract","contract-loan-realestate-term-loan"
"Mobilität","Fahrrad","E-Bike","Lifestyle","mobility","bike","e-bike","e-lifestyle","ebike","mobility-bike-e-bike-e-lifestyle"
"Mobilität","Fahrrad","Pedelec","Lifestyle","mobility","bike","pedelec","p-lifestyle","pedelec","mobility-bike-pedelec-p-lifestyle"
"Mobilität","Fahrrad","Bike","Lifestyle","mobility","bike","bike","lifestyle","bicycle","mobility-bike-bike-lifestyle"
"Mobilität","Personenfahrzeug","Auto","Limousine","mobility","passenger-vehicle","car","limousine","car","mobility-passenger-vehicle-car-limousine"
"Mobilität","Nutzfahrzeug","Wohnwagen","Luxus","mobility","commercial-vehicle","caravan","luxury","caravan","mobility-commercial-vehicle-caravan-luxury"
"Immobilien","mit Bebauung","Wohnhaus","Mehrfamilienhaus","realestate","with-development","residential-building","apartment-building","commercial-residential-property","realestate-with-development-residential-building-apartment-building"
"Verträge","Versicherung","Sach","Mietausfall","contract","insurance","object","loss-of-rent","contract-insurance-rental-rentalcontract","contract-insurance-object-loss-of-rent"
"Verträge","Dienstleistung","Service","Mietverwaltung","contract","service","service","rental-management","contract-rentalmanagement-rentalmanagement-rentalmanagementcontract","contract-service-service-rental-management"
"Verträge","Arbeitsvertrag","Beamter","Mini","contract","employment-contract","official","mini-job","employment-contract","contract-employment-contract-official-mini-job"
"Verträge","Arbeitsvertrag","öffentlicher Dienst","Mini","contract","employment-contract","public-service","mini-job","employment-contract","contract-employment-contract-public-service-mini-job"
"Verträge","Arbeitsvertrag","Angestellter","Mini","contract","employment-contract","employee","mini-job","employment-contract","contract-employment-contract-employee-mini-job"
"Mobilität","Personenfahrzeug","Auto","Minivan","mobility","passenger-vehicle","car","minivan","car","mobility-passenger-vehicle-car-minivan"
"Mobilität","Personenfahrzeug","Wohnmobil","mit Alkoven","mobility","passenger-vehicle","camper","alkoven","camper","mobility-passenger-vehicle-camper-alkoven"
"Verträge","Darlehen","Immobilie","Modernisierung","contract","loan","realestate","modernization","contract-loan-credit-creditcontract","contract-loan-realestate-modernization"
"Verträge","Kredit","Kredit","Modernisierung","contract","credit","credit","modernization","contract-loan-credit-creditcontract","contract-credit-credit-modernization"
"Mobilität","Personenfahrzeug","Motorrad","Motocross","mobility","passenger-vehicle","motorcycle","motocross","motocross","mobility-passenger-vehicle-motorcycle-motocross"
"Verträge","Kredit","KFZ","Motorboot","contract","credit","car","boat","contract-loan-credit-creditcontract","contract-credit-car-boat"
"Mobilität","Boot","Motorbetrieben","Motorboot","mobility","boat","motorized","motorboat","motorboat","mobility-boat-motorized-motorboat"
"Verträge","Versicherung","KFZ","Motorrad","contract","insurance","car","motorcycle","contract-insurance-automobile-automobilecontract","contract-insurance-car-motorcycle"
"Verträge","Kaufvertrag","KFZ","Motorrad","contract","purchase-contract","car","motorcycle","contract-sale-sale-salecontract","contract-purchase-contract-car-motorcycle"
"Mobilität","Boot","Hybrid","Motorsegler","mobility","boat","hybrid","motor-glider","motorsailer","mobility-boat-hybrid-motor-glider"
"Mobilität","Fahrrad","Bike","Mountainbike","mobility","bike","bike","mtb","bicycle","mobility-bike-bike-mtb"
"Mobilität","Fahrrad","Pedelec","Mountainbike","mobility","bike","pedelec","p-mtb","pedelec","mobility-bike-pedelec-p-mtb"
"Mobilität","Fahrrad","E-Bike","Mountainbike","mobility","bike","e-bike","e-mtb","ebike","mobility-bike-e-bike-e-mtb"
"Verträge","Medien","Streaming","Musik","contract","media","streaming","music","contract-media-media-mediacontract","contract-media-streaming-music"
"Mobilität","Personenfahrzeug","Motorrad","Naked","mobility","passenger-vehicle","motorcycle","naked","naked","mobility-passenger-vehicle-motorcycle-naked"
"Verträge","Dienstleistung","Service","Notar","contract","service","service","notary","contract-service-notary-notarycontract","contract-service-service-notary"
"Mobilität","Personenfahrzeug","Quad","Offroad","mobility","passenger-vehicle","quad","quad-offroad","quad","mobility-passenger-vehicle-quad-quad-offroad"
"Verträge","Energie","Heizen","Öl","contract","energy","heating","oil","energy","contract-energy-heating-oil"
"Finanzkonten","Kredit","Kreditkarte","Online Virtuell","financeaccount","credit","credit-card","online-virtual","contract-propertymanagement-propertymanagement-propertymanagementcontract","financeaccount-credit-credit-card-online-virtual"
"Immobilien","mit Bebauung","Parkfläche","Parkhaus","realestate","with-development","parking-space","parking-house","parking-house","realestate-with-development-parking-space-parking-house"
"Verträge","Mietvertrag","Abstellplatz","Parkplatz","contract","rental-contract","put-down-space","parking","contract-lease-lease-leasecontract","contract-rental-contract-put-down-space-parking"
"Immobilien","mit Bebauung","Parkfläche","Parkplatz","realestate","with-development","parking-space","parking-space","parking-space","realestate-with-development-parking-space-parking-space"
"Verträge","Darlehen","Immobilie","Partiarische Darlehen","contract","loan","realestate","participatory-loans","contract-loan-credit-creditcontract","contract-loan-realestate-participatory-loans"
"Finanzkonten","Systeme","Bezahlsysteme","Paypal","financeaccount","systems","payment-systems","paypal","contract-rentalmanagement-rentalmanagement-rentalmanagementcontract","financeaccount-systems-payment-systems-paypal"
"Immobilien","mit Bebauung","Wohnhaus","Pflegeeinrichtung","realestate","with-development","residential-building","care-facility","commercial-residential-property","realestate-with-development-residential-building-care-facility"
"Verträge","Versicherung","Leben","Pflegetagegeld","contract","insurance","life","daily-care-allowance","contract-insurance-longtermcaredaily-longtermcaredailycontract","contract-insurance-life-daily-care-allowance"
"Verträge","Versicherung","Leben","Pflegeversicherung","contract","insurance","life","care-insurance","contract-insurance-longtermcare-longtermcarecontract","contract-insurance-life-care-insurance"
"Verträge","Versicherung","Sach","Photovoltaik","contract","insurance","object","photovoltaic","contract-insurance-photovoltaic-photovoltaiccontract","contract-insurance-object-photovoltaic"
"Mobilität","Personenfahrzeug","Auto","Pickup","mobility","passenger-vehicle","car","pickup","car","mobility-passenger-vehicle-car-pickup"
"Mobilität","Personenfahrzeug","Quad","Pocket","mobility","passenger-vehicle","quad","quad-pocket","quad","mobility-passenger-vehicle-quad-quad-pocket"
"Verträge","Arbeitsvertrag","Beamter","Praktikumsvertrag","contract","employment-contract","official","internship","employment-contract","contract-employment-contract-official-internship"
"Verträge","Arbeitsvertrag","öffentlicher Dienst","Praktikumsvertrag","contract","employment-contract","public-service","internship","employment-contract","contract-employment-contract-public-service-internship"
"Verträge","Arbeitsvertrag","Angestellter","Praktikumsvertrag","contract","employment-contract","employee","internship","employment-contract","contract-employment-contract-employee-internship"
"Finanzkonten","Kredit","Kreditkarte","Prepaid","financeaccount","credit","credit-card","prepaid","contract-creditcard-credit-creditcardcontract","financeaccount-credit-credit-card-prepaid"
"Verträge","Versicherung","Sach","Privathaftpflicht","contract","insurance","object","personal-liability","contract-insurance-liability-liabilitycontract","contract-insurance-object-personal-liability"
"Verträge","Versicherung","Kranken","Privat Kranken voll","contract","insurance","health","additional-insurance-full","contract-insurance-health-prisickfullcontract","contract-insurance-health-additional-insurance-full"
"Verträge","Versicherung","Kranken","Privat Zusatz ambulant","contract","insurance","health","additional-insurance-outpatient","contract-insurance-priaddout-priaddoutcontract","contract-insurance-health-additional-insurance-outpatient"
"Verträge","Versicherung","Kranken","Privat Zusatz stationär","contract","insurance","health","additional-insurance-stationary","contract-insurance-priaddstat-priaddstatcontract","contract-insurance-health-additional-insurance-stationary"
"Verträge","Versicherung","Kranken","Privat Zusatz Zahn","contract","insurance","health","additional-insurance-teeth","contract-insurance-health-prisickfullcontract","contract-insurance-health-additional-insurance-teeth"
"Verträge","Mietvertrag","Immobilie","Raum","contract","rental-contract","realestate","room","contract-lease-lease-leasecontract","contract-rental-contract-realestate-room"
"Verträge","Versicherung","Sach","Rechtsschutz","contract","insurance","object","legal-protection","contract-insurance-legalprotection-legalprotectioncontract","contract-insurance-object-legal-protection"
"Verträge","Versicherung","Gewerbe","Rechtsschutz","contract","insurance","business","legal-protection","contract-insurance-legalprotection-legalprotectioncontract","contract-insurance-business-legal-protection"
"Immobilien","mit Bebauung","Wohnhaus","Reihenendhaus","realestate","with-development","residential-building","terraced-end-house","commercial-residential-property","realestate-with-development-residential-building-terraced-end-house"
"Immobilien","mit Bebauung","Wohnhaus","Reihenmittelhaus","realestate","with-development","residential-building","terraced-mid-house","commercial-residential-property","realestate-with-development-residential-building-terraced-mid-house"
"Verträge","Dienstleistung","Service","Reinigung","contract","service","service","cleaning","contract-service-cleaning-cleaningcontract","contract-service-service-cleaning"
"Mobilität","Personenfahrzeug","Quad","Renn","mobility","passenger-vehicle","quad","quad-race","quad","mobility-passenger-vehicle-quad-quad-race"
"Mobilität","Fahrrad","E-Bike","Rennrad","mobility","bike","e-bike","e-racing-bike","ebike","mobility-bike-e-bike-e-racing-bike"
"Mobilität","Fahrrad","Pedelec","Rennrad","mobility","bike","pedelec","p-racing-bike","pedelec","mobility-bike-pedelec-p-racing-bike"
"Mobilität","Fahrrad","Bike","Rennrad","mobility","bike","bike","racing-bike","bicycle","mobility-bike-bike-racing-bike"
"Verträge","Versicherung","Leben","Rentenversicherung Fonds","contract","insurance","life","pension-insurance-fund","contract-insurance-pensionfund-pensionfundcontract","contract-insurance-life-pension-insurance-fund"
"Verträge","Versicherung","Leben","Rentenversicherung klassisch","contract","insurance","life","pension-insurance","contract-insurance-classicpension-classicpensioncontract","contract-insurance-life-pension-insurance"
"Finanzkonten","Kredit","Kreditkarte","Revolving","financeaccount","credit","credit-card","revolving","contract-creditcard-credit-creditcardcontract","financeaccount-credit-credit-card-revolving"
"Verträge","Versicherung","Leben","Risiko Lebensversicherung","contract","insurance","life","risk-life-insurance","contract-insurance-risklife-risklifecontract","contract-insurance-life-risk-life-insurance"
"Mobilität","Personenfahrzeug","Quad","Road","mobility","passenger-vehicle","quad","quad-road","quad","mobility-passenger-vehicle-quad-quad-road"
"Mobilität","Personenfahrzeug","Auto","Roadstar","mobility","passenger-vehicle","car","roadstar","car","mobility-passenger-vehicle-car-roadstar"
"Verträge","Darlehen","Immobilie","Rollierende Geldmarktdarlehen","contract","loan","realestate","rolling-market-loans","contract-loan-credit-creditcontract","contract-loan-realestate-rolling-market-loans"
"Finanzkonten","Kredit","Kreditkarte","Samsung","financeaccount","credit","credit-card","samsung","contract-creditcard-credit-creditcard","financeaccount-credit-credit-card-samsung"
"Verträge","Medien","Fernsehen","Satellitenfernsehen","contract","media","television","satellite-tv","contract-media-media-mediacontract","contract-media-television-satellite-tv"
